NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,INDEX,VARIABLE NAME,VALUE,LABEL,SOURCE,SHOWN/USE ON SITE,NOTES
Percent who transferred to a 2-year institution and whose status is unknown within 8 years,completion,title_iv.transf_unknown_2yr_by.8yrs,float,,UNKN_2YR_TRANS_YR8_RT,,,NSLDS,,
The median original amount of the loan principal upon entering repayment,aid,loan_principal,float,,DEBT_MDN,,,NSLDS,,
The median debt for students who have completed,aid,median_debt.completers.overall,float,,GRAD_DEBT_MDN,,,NSLDS,,
The median debt for students who have not completed,aid,median_debt.noncompleters,float,,WDRAW_DEBT_MDN,,,NSLDS,,
"The median debt for students with family income between $0-$30,000",aid,median_debt.income.0_30000,float,,LO_INC_DEBT_MDN,,,NSLDS,,
"The median debt for students with family income between $30,001-$75,000",aid,median_debt.income.30001_75000,float,,MD_INC_DEBT_MDN,,,NSLDS,,
"The median debt for students with family income $75,001+",aid,median_debt.income.greater_than_75000,float,,HI_INC_DEBT_MDN,,,NSLDS,,
The median debt for dependent students,aid,median_debt.dependent_students,float,,DEP_DEBT_MDN,,,NSLDS,,
The median debt for independent students,aid,median_debt.independent_students,float,,IND_DEBT_MDN,,,NSLDS,,
The median debt for Pell students,aid,median_debt.pell_grant,float,,PELL_DEBT_MDN,,,NSLDS,,
The median debt for no-Pell students,aid,median_debt.no_pell_grant,float,,NOPELL_DEBT_MDN,,,NSLDS,,
The median debt for female students,aid,median_debt.female_students,float,,FEMALE_DEBT_MDN,,,NSLDS,,
The median debt for male students,aid,median_debt.male_students,float,,MALE_DEBT_MDN,,,NSLDS,,
The median debt for first-generation students,aid,median_debt.first_generation_students,float,,FIRSTGEN_DEBT_MDN,,,NSLDS,,
The median debt for not-first-generation students,aid,median_debt.non_first_generation_students,float,,NOTFIRSTGEN_DEBT_MDN,,,NSLDS,,
The number of students in the median debt cohort,aid,median_debt.number.overall,integer,,DEBT_N,,,NSLDS,,
The number of students in the median debt completers cohort,aid,median_debt.number.completers,integer,,GRAD_DEBT_N,,,NSLDS,,
The number of students in the median debt withdrawn cohort,aid,median_debt.number.noncompleters,integer,,WDRAW_DEBT_N,,,NSLDS,,
"The number of students in the median debt low-income (less than or equal to $30,000 in nominal family income) students cohort",aid,median_debt.number.income.0_30000,integer,,LO_INC_DEBT_N,,,NSLDS,,
"The number of students in the median debt middle-income (between $30,000 and $75,000 in nominal family income) students cohort",aid,median_debt.number.income.30001_75000,integer,,MD_INC_DEBT_N,,,NSLDS,,
"The number of students in the median debt high-income (above $75,000 in nominal family income) students cohort",aid,median_debt.number.income.greater_than_75000,integer,,HI_INC_DEBT_N,,,NSLDS,,
The number of students in the median debt dependent students cohort,aid,median_debt.number.dependent_students,integer,,DEP_DEBT_N,,,NSLDS,,
The number of students in the median debt independent students cohort,aid,median_debt.number.independent_students,integer,,IND_DEBT_N,,,NSLDS,,
The number of students in the median debt Pell students cohort,aid,median_debt.number.pell_grant,integer,,PELL_DEBT_N,,,NSLDS,,
The number of students in the median debt no-Pell students cohort,aid,median_debt.number.no_pell_grant,integer,,NOPELL_DEBT_N,,,NSLDS,,
The number of students in the median debt female students cohort,aid,median_debt.number.female_students,integer,,FEMALE_DEBT_N,,,NSLDS,,
The number of students in the median debt male students cohort,aid,median_debt.number.male_students,integer,,MALE_DEBT_N,,,NSLDS,,
The number of students in the median debt first-generation students cohort,aid,median_debt.number.first_generation_students,integer,,FIRSTGEN_DEBT_N,,,NSLDS,,
The number of students in the median debt not-first-generation students cohort,aid,median_debt.number.non_first_generation_students,integer,,NOTFIRSTGEN_DEBT_N,,,NSLDS,,
Median loan debt of completers in monthly payments (10-year amortization plan),aid,median_debt.completers.monthly_payments,float,,GRAD_DEBT_MDN10YR,,,NSLDS,,
Number of students not working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.not_working_not_enrolled.overall,integer,,COUNT_NWNE_P10,,,Treasury,,
Number of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.overall,integer,,COUNT_WNE_P10,,,Treasury,,
Median earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.median,integer,integer,MD_EARN_WNE_P10,,,Treasury,Yes,
25th percentile of earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.earnings_percentile.25,integer,,PCT25_EARN_WNE_P10,,,Treasury,,
75th percentile of earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.earnings_percentile.75,integer,,PCT75_EARN_WNE_P10,,,Treasury,,
"Number of students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000",earnings,10_yrs_after_entry.working_not_enrolled.income.lowest_tercile,integer,,COUNT_WNE_INC1_P10,,,Treasury,,
"Number of students working and not enrolled 10 years after entry in the middle income tercile $30,001-$75,000",earnings,10_yrs_after_entry.working_not_enrolled.income.middle_tercile,integer,,COUNT_WNE_INC2_P10,,,Treasury,,
"Number of students working and not enrolled 10 years after entry in the highest income tercile $75,001+ ",earnings,10_yrs_after_entry.working_not_enrolled.income.highest_tercile,integer,,COUNT_WNE_INC3_P10,,,Treasury,,
Number of dependent students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.working_not_enrolled.dependent_students,integer,,COUNT_WNE_INDEP0_P10,,,Treasury,,
Number of independent students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.independent_students,integer,,COUNT_WNE_INDEP1_P10,,,Treasury,,
Number of female students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.female_students,integer,,COUNT_WNE_MALE0_P10,,,Treasury,,
Number of male students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.male_students,integer,,COUNT_WNE_MALE1_P10,,,Treasury,,
Number of students not working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.not_working_not_enrolled.overall,integer,,COUNT_NWNE_P6,,,Treasury,,
Number of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.working_not_enrolled.overall,integer,,COUNT_WNE_P6,,,Treasury,,
Median earnings of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.median,integer,,MD_EARN_WNE_P6,,,Treasury,,
25th percentile of earnings of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.working_not_enrolled.earnings_percentile.25,integer,,PCT25_EARN_WNE_P6,,,Treasury,,
75th percentile of earnings of students working and not enrolled 6 years after entry,earnings,6_yrs_after_entry.working_not_enrolled.earnings_percentile.75,integer,,PCT75_EARN_WNE_P6,,,Treasury,,
Number of students not working and not enrolled 8 years after entry,earnings,8_yrs_after_entry.not_working_not_enrolled,integer,,COUNT_NWNE_P8,,,Treasury,,
Number of students working and not enrolled 8 years after entry,earnings,8_yrs_after_entry.working_not_enrolled,integer,,COUNT_WNE_P8,,,Treasury,,
Median earnings of students working and not enrolled 8 years after entry,earnings,8_yrs_after_entry.median_earnings,float,,MD_EARN_WNE_P8,,,Treasury,,
25th percentile of earnings of students working and not enrolled 8 years after entry,earnings,8_yrs_after_entry.25th_percentile_earnings,integer,,PCT25_EARN_WNE_P8,,,Treasury,,
75th percentile of earnings of students working and not enrolled 8 years after entry,earnings,8_yrs_after_entry.75th_percentile_earnings,integer,,PCT75_EARN_WNE_P8,,,Treasury,,
"Median debt, suppressed for n=30",aid,median_debt_suppressed.overall,float,,DEBT_MDN_SUPP,,,NSLDS,,
"Median debt of completers, suppressed for n=30",aid,median_debt_suppressed.completers.overall,float,,GRAD_DEBT_MDN_SUPP,,,NSLDS,,
"Median debt of completers expressed in 10-year monthly payments, suppressed for n=30",aid,median_debt_suppressed.completers.monthly_payments,float,,GRAD_DEBT_MDN10YR_SUPP,,,NSLDS,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) , pooled in two-year rolling averages and suppressed for small n size",completion,rate_suppressed.lt_four_year_150percent,float,,C150_L4_POOLED_SUPP,,,IPEDS,,
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) , pooled in two-year rolling averages and suppressed for small n size.",completion,rate_suppressed.four_year,float,,C150_4_POOLED_SUPP,,,IPEDS,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (200% of expected time to completion), pooled in two-year rolling averages and suppressed for small n size. ",completion,rate_suppressed.lt_four_year,float,,C200_L4_POOLED_SUPP,,,IPEDS,Yes,
"Completion rate for first-time, full-time students at four-year institutions (200% of expected time to completion), pooled in two-year rolling averages and suppressed for small n size",completion,rate_suppressed.four_year_200percent,float,,C200_4_POOLED_SUPP,,,IPEDS,Yes,
"Completion rate for first-time, full-time students at four-year institutions (100% of expected time to completion)",completion,completion_rate_4yr_100nt,float,,C100_4,,,IPEDS,,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate at the institution within 100 percent of normal time, calculated from the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, undergraduates who completed a degree or certificate divided by the number of full-time, first-time, undergraduates in the corresponding completion rate cohort (D100_4, D100_L4). For full-time, first-time, bachelor's degree-seeking undergraduates, 100 percent of normal time is typically 4 years, and for full-time, first-time, associate's degree-seeking undergraduates it is typically 2 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies by the length of the program (for example, 6 months for a certificate with a normal completion time of 6 months). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
Adjusted cohort count for completion rate at four-year institutions (denominator of 100% completion rate),completion,completion_cohort_4yr_100nt,integer,,D100_4,,,IPEDS,,"The number of full-time, first-time, degree/certificate-seeking undergraduates used by the institution to calculate completion rate within 100 percent of normal time, included in the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is based on the number of full-time, first-time, degree/certificate-seeking undergraduates who initially enrolled in the fall term (for institutions that primarily follow an academic year calendar system) or any time during the academic year (for institutions that primarily follow a continuous enrollment or program-based calendar system). Institutions may exclude full-time, first-time, degree/certificate-seeking undergraduates who left the institution due to death, total and permanent disability, active military duty, service in the Peace Corps or other federal foreign aid program, or service on an official church mission (http://nces.ed.gov/ipeds/glossary/index.asp?searchtype=term&keyword=adjusted+cohort). The entering class used in this metric depends on the level of institution (see ICLEVEL). Four-year institutions use full-time, first-time, degree/certificate-seeking undergraduates who started at the institution 6 years earlier. Less-than-4-year institutions use full-time, first-time, degree/certificate-seeking undergraduates who started at the institution 3 years earlier."
"Completion rate for first-time, full-time students at less-than-four-year institutions (100% of expected time to completion)",completion,completion_rate_less_than_4yr_100nt,float,,C100_L4,,,IPEDS,,ibid
Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 100% completion rate),completion,completion_cohort_less_than_4yr_100nt,integer,,D100_L4,,,IPEDS,,ibid
Level of institution,school,institutional_characteristics.level,integer,,ICLEVEL,1,4-year,IPEDS,,
,school,,,,,2,2-year,,,
,school,,,,,3,Less-than-2-year,,,
Total share of enrollment of undergraduate degree-seeking students who are men,student,demographics.men,float,,UGDS_MEN,,,IPEDS,,
Total share of enrollment of undergraduate degree-seeking students who are women,student,demographics.women,float,,UGDS_WOMEN,,,IPEDS,,
